brand,model,product_year,powertrain,trim,fuel,transmission,list_price_try,campaign_price_try,plant,source_model_id,source_page_label,observed_at,source_url,source_endpoint
Hyundai,i20,2026,1.0 T-GDI 90PS MT,Jump,Benzin,Manuel,1487000,1480000,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS MT,Jump (GSR2C & E-Call),Benzin,Manuel,1507000,1500000,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Jump,Benzin,DCT,1654000,1654000,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Jump (GSR2C & E-Call),Benzin,DCT,1674000,1674000,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Style,Benzin,DCT,1816000,1686000,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Style GSR2C,Benzin,DCT,1831000,1701000,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Style (GSR2C & E-Call),Benzin,DCT,1831000,1701000,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Elite,Benzin,DCT,1978000,1805304,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Elite GSR2C,Benzin,DCT,1993000,1819887,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i20,2026,1.0 T-GDI 90PS DCT,Elite (GSR2C & E-Call),Benzin,DCT,2003000,1829610,HAOS,SW|S6||,i20 - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i30,2026,1.6 T-GDI 150 PS DCT,Comfort,Benzin,DCT,1944000,1944000,HMMC,G4|S6||,i30,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,i30,2026,1.6 T-GDI 150 PS DCT,Prime,Benzin,DCT,2250000,2250000,HMMC,G4|S6||,i30,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Jump,Benzin,DCT,1647000,1567000,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS MT,Jump,Benzin,Manuel,1587000,1570000,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Jump (GSR2C & E-Call),Benzin,DCT,1667000,1587000,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Style,Benzin,DCT,1965000,1770666,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Style GSR2C,Benzin,DCT,1980000,1785248,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Style (GSR2C & E-Call),Benzin,DCT,1980000,1785248,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Elite,Benzin,DCT,2103000,1968000,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Elite GSR2C,Benzin,DCT,2115000,1980000,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,BAYON,2026,1.0 T-GDI 90 PS DCT,Elite (GSR2C & E-Call),Benzin,DCT,2125000,1990000,HAOS,SW|W5||,BAYON - Yerli Üretim,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,KONA,2025,1.6 T-GDI 180 PS DCT,Prime,Benzin,DCT,2344050,2263050,HMC,1E|W5||,KONA,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,KONA,2026,1.6 T-GDI 180 PS DCT,Prime,Benzin,DCT,2384050,2303050,HMC,1E|W5||,KONA,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,TUCSON,2025,1.6 CRDi 136 PS 4x4 DCT,Elite Plus,Dizel,DCT,3682000,3592000,HMMC,GT|W5||,TUCSON,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,TUCSON,2026,1.6 T-GDI 180 PS 4x2 DCT,Comfort,Benzin,DCT,2577000,2386974,HMMC,GT|W5||,TUCSON,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
Hyundai,TUCSON,2026,1.6 T-GDI 180 PS 4x2 DCT,Prime,Benzin,DCT,2771000,2679000,HMMC,GT|W5||,TUCSON,2026-08-15T21:58:10.751Z,https://www.hyundai.com/tr/tr/satis/fiyat-listesi.html,https://org-eu-www.hyundai.com/eu/papi
