categoryId,exactProductId,brand,model,independentFreshOffers,exactSources
"AIR_FRYER","NINJA_AF400EU_TR","Ninja","Foodi MAX Dual Zone AF400EU",0,""
"AIR_FRYER","PHILIPS_NA350_00_TR","Philips","3000 Series NA350/00",0,""
"AIR_FRYER","TEFAL_EY855D_TR","Tefal","Easy Fry Mega EY855D",0,""
"AIR_PURIFIER","DYSON_BP02_TR","Dyson","BP02",0,""
"AIR_PURIFIER","PHILIPS_AC1711_10_TR","Philips","AC1711/10",0,""
"AIR_PURIFIER","XIAOMI_AC_M16_SC_TR","Xiaomi","AC-M16-SC",0,""
"BLENDER","BOSCH_MMB6172S_TR","Bosch","VitaPower Serie 4 MMB6172S",0,""
"BLENDER","PHILIPS_HR2291_41_TR","Philips","Series 3000 HR2291/41",0,""
"BLENDER","TEFAL_BL811D_TR","Tefal","Perfectmix+ BL811D",0,""
"BUILT_IN_MICROWAVE_OVEN","ARCELIK_MA2030S_TR","Arçelik","MA 2030 S",0,""
"BUILT_IN_MICROWAVE_OVEN","BEKO_BMC2030S_TR","Beko","BMC 2030 S",0,""
"BUILT_IN_MICROWAVE_OVEN","SIEMENS_BE525LMB2_TR","Siemens","BE525LMB2",0,""
"BUILT_IN_OVEN","ARCELIK_AFC_120_S_TR","Arçelik","AFC 120 S",0,""
"BUILT_IN_OVEN","BEKO_BFC_221_HB_TR","Beko","BFC 221 HB",0,""
"BUILT_IN_OVEN","BOSCH_HBF534ES3T_TR","Bosch","HBF534ES3T",0,""
"COUNTERTOP_MICROWAVE_OVEN","ARCELIK_MD20K_VINTAGE_TR","Arçelik","MD 20 K Vintage",0,""
"COUNTERTOP_MICROWAVE_OVEN","BEKO_BMD200G_TR","Beko","BMD 200 G",0,""
"COUNTERTOP_MICROWAVE_OVEN","SIEMENS_FF023LMS1_TR","Siemens","FF023LMS1",0,""
"DISHWASHER","BEKO_BM4044_TR","Beko","BM 4044",0,""
"DISHWASHER","BOSCH_SMS4IKI62T_TR","Bosch","SMS4IKI62T",0,""
"DISHWASHER","SAMSUNG_DW60DG560FWQTR","Samsung","DW60DG560FWQTR",0,""
"DISHWASHER","SIEMENS_SN25EI63MT_TR","Siemens","SN25EI63MT",0,""
"DRYER","BEKO_KM_99_TR","Beko","KM 99",0,""
"DRYER","BEKO_KMX_82_TR","Beko","KMX 82",0,""
"DRYER","BOSCH_WQG24100TR","Bosch","WQG24100TR",0,""
"ELECTRIC_STORAGE_WATER_HEATER","ARCELIK_T7365_ECO_TR","Arçelik","T 7365 ECO",0,""
