categoryId,observedActiveExactProductCount,manufacturerCorroboratedActiveExactCount,usableCandidateCount,identityAmbiguityRate,manufacturerTurkiyeEvidenceGapCount,currentProductCount,currentDomesticCount,currentImportedCount,currentExactActiveCount,readyDomesticCount,readyImportedCount,importedNewBrandCount,importedSameBrandNewModelCount,priority
"AIR_FRYER",3,3,3,0.2,0,3,0,3,1,1,2,1,1,"P1_ADOPTION_REVIEW"
"AIR_PURIFIER",5,4,4,0.1667,1,3,0,3,0,0,4,1,3,"P1_ADOPTION_REVIEW"
"BLENDER",4,4,4,0,0,3,0,3,2,2,2,1,1,"P1_ADOPTION_REVIEW"
"BUILT_IN_MICROWAVE_OVEN",1,1,1,0,0,3,2,1,0,0,1,1,0,"P2_EVIDENCE_DEEPENING"
"BUILT_IN_OVEN",3,2,2,0,1,3,2,1,0,0,2,2,0,"P2_EVIDENCE_DEEPENING"
"COUNTERTOP_MICROWAVE_OVEN",4,4,4,0,0,3,2,1,0,3,1,1,0,"P1_ADOPTION_REVIEW"
"DISHWASHER",4,4,4,0.2,0,4,1,3,0,2,2,1,1,"P1_ADOPTION_REVIEW"
"DRYER",4,4,4,0,0,3,2,1,0,1,3,3,0,"P1_ADOPTION_REVIEW"
"ELECTRIC_STORAGE_WATER_HEATER",4,3,3,0,1,3,3,0,0,3,0,0,0,"P2_EVIDENCE_DEEPENING"
"FILTER_COFFEE_MACHINE",5,4,4,0,1,3,1,2,1,2,2,1,1,"P1_ADOPTION_REVIEW"
"FOOD_PROCESSOR",4,4,4,0,0,3,0,3,0,4,0,0,0,"P1_ADOPTION_REVIEW"
"FREESTANDING_COOKER",0,0,0,0,0,3,2,1,0,0,0,0,0,"P3_QUERY_REFINEMENT"
"FREEZER",3,2,2,0,1,3,2,1,0,2,0,0,0,"P2_EVIDENCE_DEEPENING"
"FULLY_AUTOMATIC_ESPRESSO_MACHINE",5,4,4,0,1,3,0,3,1,0,4,2,2,"P1_ADOPTION_REVIEW"
"HOB",3,3,3,0,0,3,2,1,0,2,1,1,0,"P2_EVIDENCE_DEEPENING"
"INSTANTANEOUS_ELECTRIC_WATER_HEATER",4,3,3,0.2,1,3,3,0,1,3,0,0,0,"P2_EVIDENCE_DEEPENING"
"MANUAL_ESPRESSO_MACHINE",5,3,3,0,2,3,0,3,1,1,2,1,1,"P1_ADOPTION_REVIEW"
"RANGE_HOOD",4,4,4,0,0,3,2,1,0,1,3,3,0,"P1_ADOPTION_REVIEW"
"REFRIGERATOR",5,4,4,0,1,4,0,4,0,1,3,1,2,"P1_ADOPTION_REVIEW"
"ROBOT_VACUUM",5,4,4,0,1,4,0,4,0,0,4,3,1,"P1_ADOPTION_REVIEW"
"SPLIT_AIR_CONDITIONER",3,3,3,0.2,0,3,0,3,0,2,1,1,0,"P2_EVIDENCE_DEEPENING"
"TURKISH_COFFEE_MACHINE",4,4,4,0.2,0,3,3,0,1,3,1,1,0,"P1_ADOPTION_REVIEW"
"VACUUM",4,4,4,0,0,4,0,4,1,0,4,2,2,"P1_ADOPTION_REVIEW"
"WASHING_MACHINE",5,5,5,0,0,24,7,17,1,3,2,0,2,"P1_ADOPTION_REVIEW"
